len,entropy,digit_p,alpha_p,vowel_p,special_p,sub_count,max_cons,query,label,attack_tag,qtype,llm_prediction,llm_reasoning
72,4.739,0.2,0.8,0.2,0.0,2,6,ereqdvat0usyur1yizgaqgh8y305w201nur4wqqdm8nixvbeqvhcmr43vk4.attacco.test,1,2,AAAA,2,"Il record AAAA è solitamente legittimo, ma la lunghezza estrema (72) e l’alta entropia (4.739) suggeriscono un nome randomizzato tipico di DGA; i pochi sottodomini confermano il pattern.  
CLASSE: 2"
17,3.617,0.0,1.0,0.25,0.0,1,4,thcdallybeast.com,1,3,A,0,"Il record di tipo **A**, la lunghezza moderata (17) e l’entropia relativamente bassa (3.62) indicano un dominio leggibile e non generato casualmente, senza pattern tipici di tunneling o DGA.  
Non presenta typo di brand né caratteri speciali, quindi appare legittimo.

CLASSE: 0"
26,3.686,0.47600000000000003,0.47600000000000003,0.19,0.048,5,3,99.36.170.201.in-addr.arpa,0,0,AAAA,0,"Il qtype AAAA indica un record legittimo di tipo AAAA, la lunghezza (26) e l’entropia (3.686) sono tipiche per un nome di reverse DNS con molte cifre; non ci sono segnali di tunneling, DGA o typo‑squatting.  
CLASSE: 0"
21,3.594,0.0,1.0,0.211,0.0,2,4,www.ruthblackwell.com,0,0,A,0,"Il record è di tipo A, la lunghezza è media e l’entropia è bassa, tipica di parole leggibili (ruthblackwell) con pochi sottodomini (www). Non presenta pattern di tunneling né di DGA.  
CLASSE: 0"
20,3.584,0.0,0.9470000000000001,0.368,0.053,1,3,a-mericanexpress.com,1,3,A,3,"Il record è di tipo A e la lunghezza (20) con entropia (3.58) è tipica di domini leggibili, ma il nome riprende il brand “americanexpress” con una leggera modifica (“a‑”), tipica di typosquatting.  

CLASSE: 3"
55,4.499,0.226,0.774,0.264,0.0,2,3,1aosxu97l1zfb2o8cys49swiobj73ibivwv2yxo6lo.attacco.test,1,2,AAAA,2,"La lunghezza estrema (55) e l’alta entropia (4.5) indicano una stringa pseudo‑casuale tipica dei domini DGA, mentre il record AAAA è comune per host legittimi e non è tipico dei canali di tunneling TXT.  
Quindi il profilo corrisponde a un possibile dominio generato da malware.  

CLASSE: 2"
26,3.763,0.47600000000000003,0.47600000000000003,0.19,0.048,5,3,223.189.75.70.in-addr.arpa,0,0,AAAA,0,"Il dominio è un tipico record di reverse DNS (in‑addr.arpa) con qtype AAAA, lunghezza moderata e entropia media, caratteristiche comuni dei domini legittimi. Nessuna anomalia di lunghezza estrema o alta entropia indica tunneling o DGA.  
CLASSE: 0"
17,3.69,0.0,0.812,0.188,0.188,1,3,xn--fedly-hya.com,1,3,A,3,"Il dominio è un IDN in punycode (xn--...), tipico di omograph attacks; il record A è legittimo ma la presenza di caratteri speciali e la lunghezza moderata con entropia non eccessiva indicano un possibile impersonamento di brand.  

CLASSE: 3"
51,4.282,0.0,1.0,0.229,0.0,3,9,nmotvlyvoexsykcpbwniwnpicjtsov.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record è di tipo TXT e la label di 51 caratteri mostra alta entropia (4.28) e una lunga sequenza di consonanti, tipico di payload codificati trasportati via DNS. La lunghezza supera quella tipica dei DGA e indica un possibile tunnel di esfiltrazione dati.  
CLASSE: 1"
62,4.718,0.2,0.8,0.133,0.0,2,9,b75cwzaw67o65nwvxtvsld1zj7mrmxdcihlpqipnl3s0g0wh3.attacco.test,1,2,AAAA,2,"Il record AAAA è tipico di traffico legittimo, ma la sottostringa di 62 caratteri è quasi interamente alfanumerica, con alta entropia (4.718) e nessun pattern linguistico, tipico di DGA piuttosto che di tunneling o typosquatting. Con pochi sottodomini e nessun carattere speciale, il profilo corrisponde alla classe 2.  

CLASSE: 2"
24,3.768,0.227,0.773,0.273,0.0,2,2,75j9yuhti00.attacco.test,1,2,A,2,"Il record A è tipico di traffico legittimo, ma il primo label “75j9yuhti00” è una stringa apparentemente casuale (12 caratteri, entropia 3.768, 22 % cifre) tipica di DGA; la lunghezza è media e il numero di sottodomini è ridotto.  
Non è estremamente lungo né usa TXT, quindi escludiamo tunneling e altri tipi.  

CLASSE: 2"
51,4.209,0.0,1.0,0.312,0.0,3,4,hzlopauqurolinszesobklxirkpdec.sandbox.alphasoc.xyz,1,1,TXT,2,"Il record TXT con stringa di 51 caratteri ad alta entropia (4.209) e un’etichetta apparentemente casuale indica tipico comportamento DGA più che un tunnel di dati (la lunghezza non è “estrema”).  

CLASSE: 2"
29,3.969,0.179,0.714,0.25,0.107,1,2,xn--manoramaolne-t3b0445h.com,1,3,A,3,"Il dominio è in Punycode (xn--...), tipico di imposter/typosquatting; la lunghezza e l’entropia non sono eccezionali e il record è di tipo A, ma la presenza di caratteri IDN indica un tentativo di imitare un brand.  
CLASSE: 3"
51,4.398,0.0,1.0,0.20800000000000002,0.0,3,7,xfpnturrhvityxqberztpiadwqhfvt.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record è di tipo TXT e la parte sinistra del dominio è una stringa estremamente lunga (51 caratteri) con alta entropia (≈4.4), tipica dei canali di tunneling/exfiltration. La combinazione di lunghezza anomala e tipo TXT supera i pattern dei DGA più brevi, indicando probabilmente un payload codificato.

CLASSE: 1"
56,4.618,0.222,0.778,0.148,0.0,2,10,jg5o89v9kxdizf34k5jccswqbszt7vewy9kq3wi7my8.attacco.test,1,2,A,2,"Il record A è legittimo, ma il primo label è una stringa molto lunga e ad alta entropia (4.6), con poche vocali e molte consonanti, tipica di domini DGA; non è TXT né estremamente lungo per tunneling.  
CLASSE: 2"
28,3.726,0.0,1.0,0.417,0.0,4,3,api.open.wisdom.alphasoc.net,0,0,A,0,"Il record è di tipo A, la lunghezza è moderata (28) e l’entropia (3.73) è tipica di domini leggibili con parole reali; i sottodomini sono pochi e composti da termini comprensibili.  
Non emergono pattern di tunneling, DGA o typosquatting.

CLASSE: 0"
36,4.427,0.147,0.853,0.23500000000000001,0.0,2,7,upvehud58r6rypbxqv9vin0.attacco.test,1,2,AAAA,2,"Il record AAAA è comune, ma la lunghezza di 36 caratteri, l’entropia elevata (4.43) e il sottodominio apparentemente casuale suggeriscono un dominio generato da algoritmo DGA.  
CLASSE: 2"
51,4.255,0.0,1.0,0.312,0.0,3,5,jopxvlliozoaeagbarznuhtwjdaxtp.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record TXT contiene una sotto‑stringa di 51 caratteri con entropia 4.255, molto più lunga della media per DGA e tipica dei payload codificati trasportati via DNS; la combinazione di tipo TXT, lunghezza estrema e alta entropia indica tunneling / data exfiltration.  
CLASSE: 1"
51,4.324,0.0,1.0,0.167,0.0,3,11,rhcfnfxpmylojrrrokfmiytstzvnzt.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record TXT contiene una stringa molto lunga (51 caratteri) con alta entropia e predominanza di consonanti, tipica dei payload codificati usati per tunneling/exfiltration.  
Non presenta parole leggibili né pattern di DGA, né somiglianze a brand noti.  

CLASSE: 1"
13,3.027,0.0,1.0,0.455,0.0,2,2,googlen.co.id,1,3,A,3,"Il dominio ha una lunghezza moderata e bassa entropia, tipica di parole leggibili, ma imita il brand “google” con una leggera variazione (“googlen”). Il record A è normale, ma il naming suggerisce un tentativo di impersonificazione.  
CLASSE: 3"
51,4.18,0.0,1.0,0.229,0.0,3,9,xajypjvnayiywijhyvyxcwqeolnckc.sandbox.alphasoc.xyz,1,1,TXT,2,"Il dominio utilizza un record TXT con una prima etichetta molto lunga (31 caratteri) e ad alta entropia (4.18), tipica di stringhe generate casualmente da DGA piuttosto che di normali parole. La mancanza di vocali, l’alto numero di consonanti consecutive e la struttura a pochi sottodomini indicano un possibile algoritmo di generazione di domini maligni.  
CLASSE: 2"
51,4.525,0.0,1.0,0.20800000000000002,0.0,3,12,iirhpvzcfwtkmyafhuvplqwnlxndju.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record TXT contiene una stringa molto lunga (51 caratteri) con alta entropia (4.525) e poche vocali, tipica di dati codificati inseriti in un sottodominio esteso per tunneling/exfiltration.  

CLASSE: 1"
14,3.5220000000000002,0.0,1.0,0.308,0.0,1,4,walgrweens.com,1,3,A,0,"Il record è di tipo A, con lunghezza media (14) e entropia moderata (3.5), caratteristiche tipiche di domini legittimi e non di payload lunghi o stringhe casuali. Non presenta cifre, caratteri speciali né pattern tipici di DGA o typo‑squatting.  
CLASSE: 0"
33,3.8970000000000002,0.069,0.931,0.241,0.0,4,5,shapirofussell.com.s9b1.psmtp.com,0,0,AAAA,0,"Il record AAAA indica un normale lookup di tipo indirizzo; la lunghezza di 33 caratteri e un’entropia di 3,9 sono tipiche di domini leggibili (es. “shapirofussell.com”) e non mostrano segni di random‑string o payload.  

CLASSE: 0"
26,3.456,0.47600000000000003,0.47600000000000003,0.19,0.048,5,3,73.88.189.189.in-addr.arpa,0,0,AAAA,0,"Il tipo AA AAA indica un record di tipo AAAA (normale per reverse‑lookup), la lunghezza è moderata e l’entropia (3.456) non è particolarmente elevata, tipica di domini legittimi. Nessuna anomalia strutturale o pattern di esfiltrazione/malware è evidente.  
CLASSE: 0"
25,3.863,0.0,1.0,0.34800000000000003,0.0,2,3,mail.towerproductsinc.com,0,0,A,0,"Il tipo A e la lunghezza moderata (25) con entropia 3.86 indicano un nome leggibile (mail.towerproductsinc.com) senza pattern di esfiltrazione o randomizzazione. I pochi sottodomini e l’assenza di cifre o caratteri speciali confermano un uso legittimo.  
CLASSE: 0"
11,2.914,0.0,1.0,0.4,0.0,1,2,gameover.vg,0,0,AAAA,0,"L'uso di un record AAAA per un dominio breve (11 caratteri) con bassa entropia (2.9) e una parola leggibile (“gameover”) indica traffico legittimo. Nessuna anomalia di lunghezza estrema o caratteri casuali.  
CLASSE: 0"
27,3.856,0.16,0.72,0.28,0.12,2,2,xn--ndianril-5za789a.gov.in,1,3,A,3,"Il dominio è in punycode (xn--) con lunghezza media (27) e entropia moderata (3.856), tipico di un nome artificiale che nasconde una parola legittima; il record A è comune, ma la struttura suggerisce un tentativo di imitare un brand (es. “indian”).  
Pertanto rientra nella categoria di impersonificazione/typosquatting.  
CLASSE: 3"
51,4.392,0.0,1.0,0.271,0.0,3,6,uekikwdeqfhrcpubcusnqororksvby.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record TXT contiene una stringa molto lunga (51 caratteri) con alta entropia (4.39), tipica di payload codificati usati per tunneling o data exfiltration.  
CLASSE: 1"
51,4.327,0.0,1.0,0.271,0.0,3,4,ninhafyculfrvompnzooqydrakttom.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record è di tipo TXT con una stringa molto lunga (51 caratteri) e un’entropia relativamente alta (4.327), tipici di payload codificati usati per tunneling. La struttura casuale del nome host e la bassa percentuale di vocali rafforzano l’indicazione di trasferimento di dati nascosto.  
CLASSE: 1"
13,3.085,0.0,1.0,0.417,0.0,1,2,alancohen.com,0,0,AAAA,0,"Il record AAAA indica un normale host IPv6, la lunghezza di 13 caratteri e l’entropia bassa (3.08) sono tipiche di domini leggibili (parola reale). Nessuna anomalia di sottodomini, cifre o caratteri speciali suggerisce traffico legittimo.  
CLASSE: 0"
51,4.248,0.0,1.0,0.271,0.0,3,13,oofdlntioxmcgoovblgplhnnkyffuu.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record TXT e la stringa estremamente lunga (51 caratteri) con alta sequenza di consonanti indicano l’uso tipico dei canali di tunneling per trasportare payload; l’entropia moderata (4.25) è coerente con dati codificati più che con un nome di dominio casuale puro.  

CLASSE: 1"
27,3.574,0.5,0.455,0.182,0.045,5,3,55.157.109.200.in-addr.arpa,0,0,AAAA,0,"Il qtype AAAA, la lunghezza moderata (27) e l’entropia relativamente bassa (3.57) indicano un dominio di reverse‑lookup standard, senza anomalie tipiche di tunneling o DGA.  
CLASSE: 0"
24,3.855,0.182,0.682,0.136,0.136,2,3,xn--hrriyt-04a50m.com.tr,1,3,A,3,"Il dominio è in punycode (xn--...), tipico dei domini IDN usati per impersonare brand; la lunghezza è moderata, l’entropia non eccessiva e il record è di tipo A, non tipico di tunneling o DGA. Queste caratteristiche puntano a un possibile caso di typosquatting/Imposter.  
CLASSE: 3"
28,4.111,0.148,0.741,0.222,0.111,1,3,xn--tatvralfeed-lce1156g.com,1,3,A,2,"Il tipo A è tipico di domini legittimi, ma la lunghezza (28) e l’entropia moderata (4.11) insieme al punycode “xn--…” e alla sequenza di caratteri apparentemente casuali indicano un dominio generato automaticamente piuttosto che un nome leggibile. Queste caratteristiche corrispondono alla firma di un DGA piuttosto che a traffico normale o tunneling.  

CLASSE: 2"
27,3.676,0.5,0.455,0.182,0.045,5,3,127.54.105.190.in-addr.arpa,0,0,AAAA,0,"Il record AAAA con lunghezza moderata, entropia relativamente bassa e formato tipico di un reverse‑DNS (IP‑in‑addr.arpa) indica traffico legittimo.  

CLASSE: 0"
21,3.975,0.1,0.75,0.2,0.15,1,3,xn--ivelak-vcb45s.com,1,3,A,3,"Il dominio è in punycode (xn--...), tipico di IDN usati per impersonare brand; il record A è legittimo e la lunghezza (21) e l’entropia (≈4) non sono tipiche di DGA o tunneling.  
Queste caratteristiche indicano un possibile caso di typosquatting/impersonificazione.  

CLASSE: 3"
12,3.252,0.0,1.0,0.5,0.0,2,2,tmir.kiev.ua,0,0,A,0,"Il dominio è di tipo A, con lunghezza moderata (12) e bassa entropia (3.25), tipiche di un nome legittimo; i sotto‑domini sono pochi e non vi sono caratteri speciali o cifre.  
Non mostra segni di tunneling, DGA o typosquatting.  

CLASSE: 0"
49,4.502,0.17,0.8300000000000001,0.255,0.0,2,4,fa7hfquss32epoqzawjgfuucqw96b95obm8l.attacco.test,1,2,AAAA,2,"La presenza di un record AAAA indica un normale mapping IP, ma la label principale è una stringa molto lunga (≈38 caratteri) con alta entropia (4.5) e pochi sottodomini, tipica dei domini generati da DGA piuttosto che di tunneling o typo‑squatting.  

CLASSE: 2"
51,4.329,0.0,1.0,0.20800000000000002,0.0,3,11,loyotvjjmuyccnehljkxnnjwltibvs.sandbox.alphasoc.xyz,1,1,TXT,1,"Tipo TXT con stringa di 51 caratteri e alta entropia (4.33), tipici di payload codificati per tunneling; la sequenza di consonanti e l'assenza di vocaboli reali rafforzano l'ipotesi.  
CLASSE: 1"
16,3.375,0.214,0.786,0.357,0.0,2,2,img.xigua110.com,0,0,A,0,"Il record è di tipo A, tipico per host di contenuti; la lunghezza (16) e l’entropia (3,38) sono basse, con un sottodominio “img” comune e pochi caratteri speciali, quindi non vi sono segnali di tunneling, DGA o typosquatting.  

CLASSE: 0"
51,4.4,0.0,1.0,0.271,0.0,3,8,obrxkrswmeyvkoyxchonhlztkgiiui.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record è di tipo TXT e contiene una stringa di 51 caratteri, più lunga del consueto per un nome host, con entropia 4.4 tipica di payload codificati; questa combinazione di lunghezza estrema e uso di TXT è tipica del tunneling/exfiltration.  
CLASSE: 1"
51,4.364,0.0,1.0,0.229,0.0,3,11,sxjwvjfjdkmadgndfketelasshxcii.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record TXT di 51 caratteri con alta entropia (4.36) e un label estremamente lungo e incomprensibile indica l’uso tipico di un canale di tunneling/exfiltration dati.  
CLASSE: 1"
71,4.658,0.29,0.71,0.203,0.0,2,5,p9ylafqigsa1ah661t6599i8teac5t32qz3xeb0m9f8ywnrjamsg5g59el.attacco.test,1,2,AAAA,1,"La lunghezza di 71 caratteri è estremamente elevata e l’entropia 4.658 indica una stringa quasi casuale; il tipo AAAA, non tipico per domini legittimi, rafforza l’ipotesi di uso per tunnel o esfiltrazione dati.  

CLASSE: 1"
54,4.595,0.25,0.75,0.212,0.0,2,4,5a293un1g0petlnwuwo9yyrf9o59dczyax5s0j2vq.attacco.test,1,2,A,2,"Stringa molto lunga e apparentemente casuale, con entropia elevata (4.595) e solo 2 sottodomini; il record è di tipo A, tipico dei domini DGA piuttosto che del tunneling (che usa spesso TXT).  
Il dominio risulta un sottodominio randomico tipico di malware DGA.  
CLASSE: 2"
11,3.096,0.0,1.0,0.4,0.0,1,2,fujifilm.ca,0,0,A,0,"Tipo A tipico di sito legittimo, lunghezza breve e bassa entropia indicano una parola reale senza anomalie strutturali.  
CLASSE: 0"
51,4.456,0.0,1.0,0.229,0.0,3,6,witkkxqmatgpeukfcgocybfwgeqsll.sandbox.alphasoc.xyz,1,1,TXT,2,"Il record TXT è relativamente lungo ma l’entropia è solo moderata; il primo label è una sequenza casuale di 30 caratteri con poche vocali, tipica di domini generati da algoritmo (DGA) piuttosto che di payload di tunneling.  
CLASSE: 2"
10,2.846,0.0,1.0,0.333,0.0,1,3,simpson.es,0,0,AAAA,0,"Il record AA**A** (IPv6) indica un dominio legittimo, la lunghezza (10) è tipica e l’entropia (2.846) è bassa, con una parola di senso compiuto (“simpson”) e nessuna anomalia di caratteri.  
Non presenta caratteristiche di tunneling, DGA o typo‑squatting.  
CLASSE: 0"
22,3.8449999999999998,0.19,0.667,0.14300000000000002,0.14300000000000002,1,3,xn--xfiit-sjc5421c.com,1,3,A,3,"Il dominio è in punycode (`xn--...`), tipico di omografi IDN usati per impersonare brand; la lunghezza è moderata e l’entropia non è estremamente alta, ma la presenza di caratteri speciali e la codifica punycode lo indirizzano verso un possibile typosquatting.  
Il record A è comune, ma la forma del nome lo colloca nella categoria di domini impostori.

CLASSE: 3"
35,4.147,0.152,0.848,0.182,0.0,2,13,ow9525kljlwjxfrknvm2ot.attacco.test,1,2,A,2,"Il record è di tipo A e la lunghezza (35) è tipica per un singolo sottodominio; l’entropia 4.147, la lunga sequenza di consonanti (13) e il mix di cifre indicano una stringa pseudo‑casuale tipica di DGA piuttosto che un dominio leggibile.  

CLASSE: 2"
14,3.379,0.0,1.0,0.385,0.0,1,2,givemeport.com,1,3,A,0,"Tipo A, lunghezza media e bassa entropia; il dominio è composto da parole leggibili senza pattern di DGA o tunneling.  
CLASSE: 0"
23,3.523,0.0,1.0,0.4,0.0,3,3,www.freelancelogo.co.uk,0,0,AAAA,0,"Il record AAAA è tipico di un host legittimo; la lunghezza moderata (23) e l’entropia 3.5 mostrano un nome leggibile e non casuale.  
CLASSE: 0"
11,2.914,0.0,1.0,0.4,0.0,1,2,telkeom.com,1,3,A,0,"Il record è di tipo A, la lunghezza è moderata (11) e l'entropia (2.914) è tipica di parole leggibili, senza sequenze lunghe di consonanti o caratteri speciali, coerente con domini legittimi.  

CLASSE: 0"
51,4.187,0.0,1.0,0.292,0.0,3,6,gmxevcrtaaehnseusvancvtldeguvn.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record TXT contiene una stringa estremamente lunga (51 caratteri) con entropia moderata, tipica dei payload codificati usati per tunneling / exfiltration, e la struttura a label unica casuale lo rende poco plausibile come dominio legittimo.  

CLASSE: 1"
27,3.408,0.5,0.455,0.182,0.045,5,3,18.218.188.190.in-addr.arpa,0,0,AAAA,0,"Il dominio è un tipico record reverse‑DNS (in‑addr.arpa) con qtype AAAA, lunghezza moderata e bassa entropia, senza pattern di randomicità o payload lunghi. Le metriche indicano un traffico legittimo e non sospetto.  
CLASSE: 0"
27,3.454,0.5,0.455,0.182,0.045,5,3,109.20.130.190.in-addr.arpa,0,0,AAAA,0,"Il qtype AAAA (record di indirizzo) e la lunghezza moderata (27) con bassa entropia (3.45) sono tipici di domini reverse legittimi; non emergono pattern di tunneling, DGA o typo‑squatting.  
CLASSE: 0"
11,3.459,0.0,1.0,0.30000000000000004,0.0,1,4,gearbst.com,1,3,A,0,"Il record è di tipo A, con lunghezza media (11) e entropia moderata (3,46), tipici di domini legittimi; non vi sono caratteristiche di tunneling, DGA o typosquatting.  
CLASSE: 0"
50,4.423,0.20800000000000002,0.792,0.146,0.0,2,6,w91wyupw0e4tgn8cnrzq83x3r8mwszyd1egct.attacco.test,1,2,A,2,"Lunga etichetta casuale (50 caratteri) con alta entropia (≈4.4) e record A, tipico di domini generati da malware piuttosto che di tunneling.  
CLASSE: 2"
66,4.716,0.219,0.781,0.188,0.0,2,6,nbt8jfyes47vj7azx3gela5r63qcv74nlbshx5rj5ea03pijxadym.attacco.test,1,2,AAAA,2,"Il tipo AAAA è legittimo, ma la prima label è una sequenza casuale di 60+ caratteri con alta entropia (4.7) e buona presenza di cifre, tipica di domini generati da DGA.  
La lunghezza elevata e il numero ridotto di sottodomini rafforzano il profilo di un DGA.  
CLASSE: 2"
19,3.892,0.056,0.778,0.333,0.167,1,2,xn--vporia-eu7b.com,1,3,A,3,"Il record A indica un normale lookup, la lunghezza (19) e l’entropia (≈3.9) non sono tipiche di domini DGA o di tunnel dati estremamente lunghi; la presenza di punycode (xn--) suggerisce un possibile homograph/typosquatting.  

CLASSE: 3"
51,4.579,0.0,1.0,0.25,0.0,3,7,ltqmtnresvcyficxcjrkuikwumueqp.sandbox.alphasoc.xyz,1,1,TXT,1,"Il record TXT di 51 caratteri è molto lungo e tipico dei canali di tunneling; l’entropia moderata (4.58) suggerisce dati codificati piuttosto che un nome casuale.  

CLASSE: 1"
28,4.164,0.115,0.885,0.192,0.0,2,3,hn9wpuz5xwq5mjd.attacco.test,1,2,A,2,"Il record A è comune, ma il sotto‑dominio “hn9wpuz5xwq5mjd” è una stringa casuale di 16 caratteri con entropia 4.16, tipica di domini DGA; la lunghezza e i pochi sottodomini non indicano tunneling.  
CLASSE: 2"
26,3.58,0.47600000000000003,0.47600000000000003,0.19,0.048,5,3,95.21.168.192.in-addr.arpa,0,0,AAAA,0,"Il tipo AA AAA indica un record di tipo AAAA (IPv6) tipico per reverse‑DNS; la lunghezza 26 e l’entropia 3.58 sono basse e coerenti con un nome strutturato (IP‑in‑addr.arpa) piuttosto che con una stringa casuale o estremamente lunga.  

Non emergono pattern di tunneling né di DGA, né tentativi di imitare brand.

CLASSE: 0"
